verb1,year,frequency
Leibbranden,1909,1
Ooghen_troosten,1986,1
Radiotoespreken,1939,1
Schuttersfeesten,1869,1
aaien,1970,2
aan_bellen,1964,2
aan_besteden,1978,1
aan_bevelen,1843,1
aan_bevelen,1869,1
aan_bevelen,1871,1
aan_bevelen,1874,1
aan_bevelen,1894,2
aan_bevelen,1896,1
aan_bevelen,1903,1
aan_bevelen,1925,1
aan_bevelen,1938,2
aan_bevelen,1955,1
aan_bidden,1918,1
aan_bidden,1925,1
aan_bieden,1837,2
aan_bieden,1840,1
aan_bieden,1841,2
aan_bieden,1842,1
aan_bieden,1846,1
aan_bieden,1871,1
aan_bieden,1874,1
aan_bieden,1880,2
aan_bieden,1890,1
aan_bieden,1904,1
aan_bieden,1912,1
aan_bieden,1922,1
aan_bieden,1925,1
aan_bieden,1930,1
aan_bieden,1935,1
aan_bieden,1939,1
aan_bieden,1941,4
aan_bieden,1946,1
aan_bieden,1949,1
aan_bieden,1956,1
aan_bieden,1970,1
aan_bieden,1971,1
aan_bieden,1988,2
aan_blaffen,1930,1
aan_blijven,1874,1
aan_blijven,1905,1
aan_breken,1890,1
aan_breken,1896,1
aan_breken,1902,2
aan_breken,1910,1
aan_breken,1935,1
aan_breken,1971,1
aan_breken,1990,1
aan_brengen,1840,1
aan_brengen,1841,1
aan_brengen,1871,1
aan_brengen,1874,1
aan_brengen,1891,1
aan_brengen,1912,1
aan_brengen,1947,1
aan_brengen,1951,1
aan_brengen,1955,1
aan_brengen,1956,1
aan_brengen,1964,1
aan_dienen,1926,1
aan_dienen,1940,1
aan_dienen,1952,1
aan_dienen,1975,1
aan_dienen,1994,1
aan_doen,1837,1
aan_doen,1842,1
aan_doen,1857,2
aan_doen,1860,4
aan_doen,1874,2
aan_doen,1875,1
aan_doen,1904,1
aan_doen,1906,1
aan_doen,1910,3
aan_doen,1912,1
aan_doen,1917,1
aan_doen,1919,1
aan_doen,1922,2
aan_doen,1925,2
aan_doen,1926,1
aan_doen,1934,1
aan_doen,1937,1
aan_doen,1945,4
aan_doen,1950,1
aan_doen,1951,1
aan_doen,1954,1
aan_doen,1956,1
aan_doen,1957,1
aan_doen,1958,1
aan_doen,1963,1
aan_doen,1964,1
aan_doen,1971,2
aan_doen,1980,1
aan_doen,1988,1
aan_doen,1991,1
aan_doen,1994,1
aan_drijven,1896,1
aan_dringen,1869,3
aan_dringen,1880,1
aan_dringen,1894,3
aan_dringen,1895,1
aan_dringen,1898,1
aan_dringen,1906,1
aan_dringen,1934,1
aan_dringen,1951,1
aan_dringen,1981,1
aan_dringen,1985,1
aan_dringen,1995,1
aan_drukken,1925,1
aan_duiden,1841,1
aan_duiden,1858,1
aan_duiden,1869,1
aan_duiden,1905,1
aan_duiden,1912,1
aan_duiden,1922,2
aan_duiden,1952,2
aan_duiden,1954,1
aan_duiden,1958,1
aan_duiden,1975,3
aan_duren,1981,1
aan_durven,1910,2
aan_durven,1951,1
aan_durven,1963,2
aan_gaan,1846,2
aan_gaan,1860,2
aan_gaan,1871,1
aan_gaan,1874,1
aan_gaan,1890,2
aan_gaan,1894,2
aan_gaan,1902,1
aan_gaan,1909,1
aan_gaan,1910,2
aan_gaan,1919,1
aan_gaan,1922,1
aan_gaan,1925,1
aan_gaan,1926,3
aan_gaan,1945,2
aan_gaan,1949,2
aan_gaan,1951,1
aan_gaan,1953,1
aan_gaan,1955,1
aan_gaan,1961,1
aan_gaan,1963,2
aan_gaan,1972,2
aan_gaan,1975,2
aan_gaan,1977,1
aan_gaan,1979,1
aan_gaan,1982,3
aan_gaan,1992,1
aan_gaan,1997,1
aan_geven,1846,1
aan_geven,1902,1
aan_geven,1903,1
aan_geven,1910,1
aan_geven,1911,1
aan_geven,1922,1
aan_geven,1934,1
aan_geven,1943,1
aan_geven,1946,1
aan_geven,1951,1
aan_geven,1958,1
aan_geven,1972,1
aan_geven,1975,2
aan_geven,1977,1
aan_geven,1979,3
aan_geven,1982,2
aan_geven,1985,1
aan_geven,1988,1
aan_geven,1992,1
